name,type,latitude,longitude,room_rate_lkr,rating,district,province
Rathna Guesthouse,Guest House,6.0005885,80.2625399,3884,4.5,Galle,Southern
Dampe Village,Hotel,6.7716912,79.9161661,12783,3.6,Colombo,Western
Hotel Good Wood Plaza,Hotel,7.1660768,79.8816053,8405,3.6,Gampaha,Western
Silver Sands Hotel,Hotel,7.2299511,79.8409962,8864,3.7,Gampaha,Western
Jetwing Ayurveda Pavillions,Hotel,7.2371674,79.8416346,11912,4.7,Gampaha,Western
Beach View,Hotel,7.2407454,79.8418145,8166,4.3,Gampaha,Western
Silva's Beach,Hotel,7.2376144,79.8416775,10607,4.9,Gampaha,Western
Cashew Hotel,Hotel,7.1369898,79.8346787,15336,3.9,Gampaha,Western
Sanctuary House,Hotel,7.1237593,79.8404844,11603,3.7,Gampaha,Western
Lagoon Paradise,Hotel,7.1353023,79.8387041,10261,4.0,Gampaha,Western
Full Moon Garden Hotel,Hotel,7.1542059,79.8748382,13936,3.8,Gampaha,Western
Eestee Rest,Hotel,6.8866186,79.8556869,12553,4.5,Colombo,Western
Rock House (Galbangalawa),Hotel,6.8078018,79.9067701,19497,4.5,Colombo,Western
Liyanka Reception Hall,Hotel,6.8038771,79.9170621,16150,3.6,Colombo,Western
Nadagamuwa Village Inn,Hotel,7.1228627,79.9453767,15865,4.3,Gampaha,Western
Windsor Hotel,Hotel,6.9741495,80.7671861,12311,4.6,Nuwara Eliya,Central
Ranmuthu Hotel,Hotel,6.9155325,79.8480881,15861,4.3,Colombo,Western
Bay Beach Hotel,Hotel,5.9598766,80.4205038,14480,4.8,Matara,Southern
Randiya,Hotel,8.3302678,80.4180252,13973,4.1,Anuradhapura,North Central
Villa Khiara,Guest House,6.1258404,80.1120656,3719,4.6,Galle,Southern
House of Badreen,Guest House,6.0247173,80.2192228,5272,4.3,Galle,Southern
Sahara Guesthouse,Guest House,6.124687,80.1090297,6780,3.8,Galle,Southern
Tropic Inn - Mount Lavinia,Guest House,6.838719,79.8651187,4502,3.7,Colombo,Western
Pantiya Estate,Guest House,6.5494313,80.087204,5767,4.5,Kalutara,Western
Village De Caerd,Hotel,7.4730176,80.350595,16429,4.2,Kurunegala,North Western
Green Garden Guest House,Guest House,6.4307628,80.000131,4270,4.0,Kalutara,Western
Palm Beach Inn,Hotel,6.4110614,80.0004382,17563,3.9,Kalutara,Western
The Villa Bentota,Hotel,6.414486,79.9987158,17861,4.0,Kalutara,Western
Chaarya,Hotel,6.2975256,81.3001608,13153,4.1,Hambantota,Southern
Anthonys Inn,Guest House,5.9656228,80.3806531,5945,3.7,Matara,Southern
Sayurima Hotel,Hotel,5.9652945,80.3805488,12856,4.6,Matara,Southern
Guest House,Guest House,6.8547128,79.9137013,3454,4.3,Colombo,Western
Golden Rose Reception Hall,Hotel,6.8424164,79.9099562,12033,4.0,Colombo,Western
Mandi,Hotel,6.010584,80.2435663,12289,4.1,Galle,Southern
Queen River Inn,Guest House,6.4383046,79.9943548,6970,4.1,Kalutara,Western
Villa Sea View,Hotel,5.9432146,80.4543617,15176,3.9,Matara,Southern
Monty Hotel,Hotel,7.2865108,81.6779672,10898,4.3,Ampara,Eastern
SMC Guest House,Guest House,7.2863991,81.6773664,6799,4.8,Ampara,Eastern
Raja Wewa Hotel,Hotel,7.3105296,81.6750222,15418,4.6,Ampara,Eastern
Hotel Blue Sky,Hotel,7.4832014,80.3531876,15465,4.8,Kurunegala,North Western
World's End Lodge,Hotel,6.7788182,80.8579221,11105,3.8,Nuwara Eliya,Central
Flower Garden Lake Resort,Hotel,6.2659455,81.2359234,11260,4.4,Hambantota,Southern
Flower Garden,Hotel,6.0141182,80.2488289,14606,3.7,Galle,Southern
Panorama Hotel,Hotel,5.9464567,80.6303107,17358,3.6,Matara,Southern
Star Dust Beach Hotel,Hotel,6.8504234,81.8314887,14302,4.4,Ampara,Eastern
Sea Joy,Guest House,7.2275536,79.84098,5759,4.0,Gampaha,Western
Lake View,Guest House,8.3338369,80.4164071,4400,4.2,Anuradhapura,North Central
Silver Star Inn,Hotel,8.5737529,81.2349697,8109,4.1,Trincomalee,Eastern
H & U,Guest House,8.7058557,81.1858472,4178,4.0,Trincomalee,Eastern
Leesha,Guest House,7.9331007,81.0015304,4355,4.5,Polonnaruwa,North Central
Takeshi Inn,Guest House,7.8852016,80.6523507,4479,4.7,Polonnaruwa,North Central
Leisure Mount View Holiday Inn,Guest House,6.7673232,80.9435069,5973,3.5,Nuwara Eliya,Central
Fort Fifty,Hotel,6.0260245,80.2188169,15256,3.8,Galle,Southern
Amara Guest,Guest House,5.9465264,80.4600744,4582,3.5,Matara,Southern
New Tour Inn,Hotel,6.9707383,80.769135,13901,4.5,Nuwara Eliya,Central
River View Wathsala Inn,Hotel,6.8268187,80.5266317,17867,3.6,Ratnapura,Sabaragamuwa
Hotel Sunflower,Hotel,6.4153353,81.3425268,9652,3.7,Hambantota,Southern
Happy Kent,Hotel,6.2926266,81.2960045,12942,4.0,Hambantota,Southern
Hotel Lake Side Tourist Inn,Hotel,6.2848829,81.2921993,14384,4.9,Hambantota,Southern
Villuda Inn,Hotel,6.8610974,80.0340753,18500,4.4,Colombo,Western
Little Rose Inn,Guest House,6.7217554,81.1046038,5933,3.5,Badulla,Uva
Bon Bon Hotel,Hotel,6.8356078,80.0026461,12859,4.3,Colombo,Western
Bolgoda Lake Villa,Hotel,6.7658188,79.9217556,17806,4.6,Colombo,Western
Bolgoda Park Hotel,Hotel,6.7657005,79.8966774,14322,3.7,Colombo,Western
White Heaven Hotel,Hotel,6.6843229,79.9176603,19017,4.7,Kalutara,Western
Laya Beach Resort,Hotel,6.6788759,79.9200331,19195,4.5,Kalutara,Western
Saffron Beach Hotel,Hotel,6.6633524,79.9266043,16379,4.1,Kalutara,Western
Reef Villa & Spa,Hotel,6.6589718,79.9287378,11999,4.1,Kalutara,Western
Siddhalepa Ayurveda Health Resort,Hotel,6.6571858,79.9296354,9994,4.3,Kalutara,Western
Kamaro Holiday Resort,Hotel,6.704718,79.97006,11513,4.5,Kalutara,Western
Avissawella Rest House,Hotel,6.9539896,80.210192,12283,3.7,Gampaha,Western
Hotel Famous,Hotel,6.9490229,80.2121668,12635,3.5,Gampaha,Western
Villa Nicomar,Hotel,5.956058,80.6509199,20000,4.2,Matara,Southern
Hambantota Rest House,Guest House,6.1230456,81.1270147,5289,4.4,Hambantota,Southern
Hotel Maliyaddha,Hotel,5.9621111,80.6619035,9814,4.8,Matara,Southern
Solis Hotel,Hotel,6.8895795,79.9033719,10372,3.6,Colombo,Western
Randumahala Guest House,Guest House,6.8320647,80.9865459,5642,4.6,Badulla,Uva
Bandarawela Rest House,Guest House,6.834239,80.9866064,6778,4.7,Badulla,Uva
Garden Beach Hotel,Hotel,6.5955192,79.9543851,15222,3.8,Kalutara,Western
Golden Sands Hotel,Hotel,6.6278718,79.9411549,19608,4.3,Kalutara,Western
New Wadduwa Beach Resort,Hotel,6.6534517,79.9314307,9359,3.7,Kalutara,Western
Villa Ocean View,Hotel,6.6548038,79.9309238,15277,4.6,Kalutara,Western
Hotel Panorama,Hotel,6.5935233,79.9612108,12954,4.1,Kalutara,Western
New Valley Holiday Home,Hotel,6.8511603,80.602616,16362,4.3,Nuwara Eliya,Central
Gampola Rest House,Guest House,7.16099,80.5674576,6618,3.9,Kandy,Central
Kothmale Holiday Resort,Hotel,7.0838913,80.5758046,12630,4.6,Kandy,Central
Mahaweli Reach Hotel,Hotel,7.3248173,80.6310422,8881,4.7,Kandy,Central
Hotel Tree of Life,Hotel,7.3197079,80.5764644,10814,4.2,Kandy,Central
Sharon Inn,Hotel,7.2871665,80.6422607,14275,4.4,Kandy,Central
Senani,Hotel,7.288373,80.6394736,12751,4.3,Kandy,Central
Devon Hotel,Hotel,7.2845537,80.6499783,10375,3.9,Kandy,Central
Nathashiya Holiday Inn,Guest House,7.2884698,80.6389467,6055,4.0,Kandy,Central
Royal Hotel & Bar,Hotel,7.2952083,80.6375052,17872,4.1,Kandy,Central
Juliana,Hotel,6.9090556,79.8499652,17710,4.8,Colombo,Western
Renuka City Hotel,Hotel,6.9085057,79.8502478,10933,3.6,Colombo,Western
Sun Hill,Hotel,6.8971936,79.8523099,19729,4.6,Colombo,Western
Hotel Sobãnã,Hotel,6.3840282,80.964035,13995,4.7,Hambantota,Southern
Hotel Samans,Guest House,6.0326324,80.7998745,5359,4.4,Matara,Southern
Hanwella Rest House,Guest House,6.9095658,80.0824115,6870,3.9,Gampaha,Western
Green Valley,Hotel,6.9093818,80.0770264,11205,4.2,Gampaha,Western
Biyagama Village,Hotel,6.9396561,79.9808799,16832,4.2,Colombo,Western
Awanhala,Guest House,7.2410664,80.2087229,3888,4.0,Kegalle,Sabaragamuwa
Ambalama Leisure Lounge,Hotel,6.9126053,80.0956732,18896,3.6,Gampaha,Western
The Nature's Resort,Guest House,6.9091263,80.1274911,5689,3.7,Gampaha,Western
New Tristar Hotel,Hotel,6.842753,81.8320682,13546,3.9,Ampara,Eastern
Gecko,Hotel,6.8412603,81.832559,9232,3.9,Ampara,Eastern
Hilton Guest House,Hotel,6.8420606,81.832492,14301,4.2,Ampara,Eastern
Palm Grove,Hotel,6.8378768,81.8285518,9822,4.8,Moneragala,Uva
Green Room,Hotel,6.842255,81.8313681,15578,4.5,Ampara,Eastern
Rocco's,Hotel,6.8442443,81.831411,12203,4.8,Ampara,Eastern
Arugambay Beach Resort,Hotel,6.849424,81.8315049,9491,4.3,Ampara,Eastern
Rupa's Beach Hotel,Hotel,6.8391659,81.8336181,14778,4.6,Ampara,Eastern
Nandawanam,Guest House,7.9203558,81.5612107,5229,3.9,Batticaloa,Eastern
Malu Malu Resort & Spa,Hotel,7.927619,81.5606367,9263,4.7,Batticaloa,Eastern
Sky Park Holiday Inn,Hotel,6.9630028,80.7608187,19908,4.0,Nuwara Eliya,Central
Ivory Villa,Guest House,6.0086951,80.2406459,4323,4.2,Galle,Southern
Village Inn,Guest House,6.0095682,80.2437173,6980,3.7,Galle,Southern
LemonGrass,Guest House,6.0071256,80.2427431,6883,4.2,Galle,Southern
Ammas Guesthouse,Guest House,6.0097662,80.245945,3500,3.9,Galle,Southern
Boomerang,Guest House,6.0093568,80.2448953,6139,3.5,Galle,Southern
Dhammika,Guest House,6.0097531,80.2463661,5222,3.9,Galle,Southern
Kahuna Rooms,Guest House,6.0123827,80.24818,3304,4.8,Galle,Southern
Lucky Tuna,Hotel,6.0097233,80.2483089,17169,4.6,Galle,Southern
Mahesh Rooms,Guest House,6.011583,80.24824,3092,3.7,Galle,Southern
Villa Watuna,Hotel,6.0104077,80.2438264,15117,4.0,Galle,Southern
Motel Navoad,Guest House,6.0126121,80.2482042,5566,4.4,Galle,Southern
Neptune Bay,Guest House,6.0102774,80.24698,4344,3.7,Galle,Southern
One and Only Appartments,Guest House,6.0102738,80.2474194,3580,4.0,Galle,Southern
Primrose,Guest House,6.0093834,80.2445374,4307,4.8,Galle,Southern
Randa,Guest House,6.0110591,80.2481566,3051,4.0,Galle,Southern
Secret Garden,Guest House,6.0097594,80.2454635,6089,3.6,Galle,Southern
Strand Home Stay,Guest House,6.0095923,80.244195,5201,3.7,Galle,Southern
The Villa Hotel,Guest House,6.0095384,80.2458132,3873,4.8,Galle,Southern
Forest Guest,Guest House,6.8726955,81.050885,6301,4.0,Badulla,Uva
Golden Rock Guest Inn,Guest House,6.8718338,81.0565837,3533,3.8,Badulla,Uva
Grand Ella Motel,Guest House,6.8720267,81.0490453,3761,4.3,Badulla,Uva
Rainbow Inn,Guest House,6.8740365,81.0486504,4689,4.9,Badulla,Uva
Sita's heaven,Guest House,6.873309,81.0542695,6104,4.1,Badulla,Uva
Soorya Guest Inn,Guest House,6.872113,81.0491005,5971,4.5,Badulla,Uva
Ella Paddy Field View Guest Inn,Guest House,6.8701154,81.0458219,6016,4.7,Badulla,Uva
Lagoon Garden,Hotel,6.444315,79.9917804,18076,4.0,Kalutara,Western
Neptune Hotel,Hotel,6.4479717,79.9843346,8837,4.5,Kalutara,Western
Lanka Princess,Hotel,6.4435974,79.9895237,10793,4.4,Kalutara,Western
Eden Resort & Spa,Hotel,6.4443815,79.9891644,12052,3.9,Kalutara,Western
Jays Holiday Resort,Hotel,8.0280016,80.7662016,12733,3.5,Polonnaruwa,North Central
Skydale,Hotel,7.2865959,80.6558669,18219,4.0,Kandy,Central
Sorabora Gedara Mahiyanganaya,Hotel,7.3533159,80.9992465,14450,4.2,Badulla,Uva
Dutugamunu Resthouse,Hotel,7.322913,80.9907378,10864,3.5,Badulla,Uva
Portofino Resort,Hotel,6.0686381,80.908884,16283,4.0,Hambantota,Southern
Peacock Beach hotel Hamabthota,Hotel,6.1353208,81.1311919,12860,4.8,Hambantota,Southern
Rea Lanka Guest House,Guest House,8.6113728,81.216783,6976,4.8,Trincomalee,Eastern
Sea Lotus Park,Hotel,8.6146517,81.2182313,10317,4.2,Trincomalee,Eastern
Jade Green Hambanthota,Hotel,6.1355818,81.1309288,13155,3.8,Hambantota,Southern
Oasis Aurweda Resort Hambathota,Hotel,6.1218021,81.1228849,8407,4.7,Hambantota,Southern
Nelly Star Hotel,Hotel,8.7514653,80.4999957,16684,4.5,Vavuniya,Northern
Laksan View Resort,Guest House,6.7683751,80.9585565,6167,4.4,Badulla,Uva
Mist Holiday Bungalow,Guest House,6.766747,80.9558479,3510,3.9,Badulla,Uva
Saman Hotel,Guest House,6.7674,80.9566495,3826,4.4,Badulla,Uva
Sri Lak View Holiday Inn,Guest House,6.7678159,80.960516,5851,4.0,Badulla,Uva
Wiyaja Cottage,Guest House,6.7669812,80.9548737,3638,3.7,Badulla,Uva
Malsara,Hotel,6.8502948,79.865502,14876,4.9,Colombo,Western
Elephant Reach YALA,Hotel,6.228835,81.3317579,15349,4.5,Hambantota,Southern
Hindu Rest,Guest House,6.4124511,81.3300942,5460,4.3,Hambantota,Southern
Dutugemunu pilgrims Rest,Guest House,6.4137595,81.3349785,3057,4.7,Hambantota,Southern
Bank of Ceylon Rest,Guest House,6.4125017,81.3305287,4905,3.5,Hambantota,Southern
Y M B A Rest House,Guest House,6.413509,81.3330124,5353,4.2,Hambantota,Southern
Muslim Rest,Guest House,6.4124324,81.337371,5465,4.6,Hambantota,Southern
Burmese Rest,Guest House,7.300538,80.6364877,5976,4.0,Kandy,Central
City Mission,Guest House,7.2961351,80.6375243,6529,4.1,Kandy,Central
Old Empire Hotel,Guest House,7.2936895,80.6389711,6993,3.5,Kandy,Central
Aluwihare,Guest House,7.8574664,80.6526232,5367,4.4,Polonnaruwa,North Central
Chooti,Guest House,7.9517181,80.7543246,5565,4.8,Polonnaruwa,North Central
Disni Village,Guest House,7.8597661,80.6521345,5345,3.7,Polonnaruwa,North Central
Gimhana GuestHouse,Guest House,7.8899472,80.6581246,3113,3.7,Polonnaruwa,North Central
Healy Tourist Inn,Guest House,7.8615807,80.6522535,4039,4.8,Polonnaruwa,North Central
Hostal Cottage,Guest House,7.9284997,80.699465,6310,4.7,Polonnaruwa,North Central
Hotel Sakura Blue,Guest House,7.9014945,80.6688297,5452,4.6,Polonnaruwa,North Central
Hotel Sangeewa,Guest House,7.8605149,80.65239,4629,4.5,Polonnaruwa,North Central
Hotel Senara,Guest House,7.9194618,80.6798116,3664,3.5,Polonnaruwa,North Central
Inamaluwa Inn,Guest House,7.9277602,80.6926764,6449,3.5,Polonnaruwa,North Central
Indika Hotel,Guest House,7.9460432,80.7367581,5968,4.7,Polonnaruwa,North Central
Mount View Holiday Resort,Guest House,7.9038508,80.6701248,3023,3.7,Polonnaruwa,North Central
Prince Inn,Guest House,7.9454054,80.7342931,6621,4.2,Polonnaruwa,North Central
Samahala Guest House,Guest House,7.9467564,80.7385672,3579,4.6,Polonnaruwa,North Central
Sandeepa Hotel,Guest House,7.9225222,80.6821893,5863,3.8,Polonnaruwa,North Central
Sandya GuestHouse,Guest House,7.9404228,80.7292157,4207,4.2,Polonnaruwa,North Central
Sigiriya View Resort,Hotel,7.9520846,80.7403955,19985,4.5,Polonnaruwa,North Central
Sunray Inn,Guest House,7.8613603,80.6523186,4448,4.3,Polonnaruwa,North Central
Tropical Village,Guest House,7.9008296,80.6682825,6507,3.6,Polonnaruwa,North Central
Hotel Sansu,Hotel,6.888874,79.8777852,9235,4.5,Colombo,Western
Amaliya Reach Holiday Resort,Hotel,6.8401032,80.0209468,9980,3.9,Colombo,Western
Colombo Court Hotel & Spa;Colombo Court,Hotel,6.8977792,79.8563983,10423,4.2,Colombo,Western
Gnanams,Hotel,9.6670778,80.0144934,9492,4.9,Jaffna,Northern
Ashok,Hotel,9.663679,80.0131104,13303,3.8,Jaffna,Northern
Elephant Corridor Boutique Hotel,Hotel,7.9435512,80.7592824,18368,4.2,Polonnaruwa,North Central
Green Paradise Resort,Hotel,7.8903492,80.7250922,19887,3.7,Polonnaruwa,North Central
Amaya Lake hotel,Hotel,7.8944619,80.7001182,13959,4.7,Polonnaruwa,North Central
Jetwing Vil Uyana,Hotel,7.9509573,80.7443371,16286,4.3,Polonnaruwa,North Central
Inginiyagala Rest House,Guest House,7.2178155,81.5439886,5837,4.0,Ampara,Eastern
Lagoon Rest House,Guest House,7.2087809,79.8344977,4929,4.5,Gampaha,Western
Badulla Resthouse,Guest House,6.9893528,81.057364,3728,3.5,Badulla,Uva
Airport Reach,Hotel,7.1459787,79.8739631,14792,3.9,Gampaha,Western
International Beach Hotel,Hotel,6.1251078,80.1088414,17378,4.2,Galle,Southern
Neelas,Guest House,6.1252401,80.1086734,6119,4.3,Galle,Southern
Coral Reef Beach Hotel,Hotel,6.1350811,80.0998957,11374,4.5,Galle,Southern
Coral Sands,Hotel,6.1366834,80.0997271,18845,4.5,Galle,Southern
YKD Tourist Rest,Guest House,6.1366413,80.0999379,3270,3.6,Galle,Southern
Anura Villa,Guest House,6.1267447,80.1059435,3884,4.5,Galle,Southern
Appolo,Hotel,6.1289949,80.1036066,8163,4.1,Galle,Southern
Bandula Beach Inn,Guest House,6.1270649,80.1051735,4284,4.4,Galle,Southern
Blue Note,Hotel,6.1281951,80.1043021,18195,4.9,Galle,Southern
Blue Ocean Villa,Hotel,6.1288725,80.1046496,16018,3.6,Galle,Southern
Casalanka,Hotel,6.1264415,80.1063936,18672,3.7,Galle,Southern
Dewasiri Beach,Guest House,6.1273659,80.1049282,4499,4.5,Galle,Southern
Fixi Foxi,Guest House,6.1291137,80.1035022,6367,3.9,Galle,Southern
Francis,Hotel,6.1294799,80.1034831,9853,4.0,Galle,Southern
Funky De Bar,Guest House,6.1260655,80.1061205,3953,3.8,Galle,Southern
Hansaj Resort,Hotel,6.12735,80.1058676,13836,3.7,Galle,Southern
Jupiter,Guest House,6.1261121,80.1070143,3333,4.3,Galle,Southern
Main Reef Surf Rest,Guest House,6.1275353,80.104819,4151,3.5,Galle,Southern
Moon Beam - The Beach Heaven,Hotel,6.1261831,80.1067499,11614,4.3,Galle,Southern
Paradiso Hotel,Hotel,6.1292811,80.1032669,10257,3.8,Galle,Southern
Surfing Beach,Guest House,6.126811,80.1058705,4641,4.4,Galle,Southern
The Fishery,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Paradise Road The Gallery Cafe,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Crystal Jade,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Kuuraku Japanese Restaurant,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
Royal Thai - Cinnamon Lakeside,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Cafe Shaze,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Barefoot Garden Cafe,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
The Steuart by Citrus,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Hotel MaRadha Colombo,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Grand Oriental Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Mirage Hotel Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
C 1 Colombo Fort,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Jetwing Colombo Seven,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
The Kingsbury Hotel,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Mandarina Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Colombo Court Hotel & Spa,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Seafood Cove,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Sugar Bistro & Wine Bar,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Cinnamon Red Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
ME Colombo,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Granbell Hotel Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Cinnamon Grand Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
"Taj Samudra, Colombo",Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Honey Beach Club,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Pearl Grand By Rathna,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Zylan Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
The Ocean Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Sea Fish Restaurant,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Lagoon,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Colom Bar,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Movenpick Hotel Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
