name,latitude,longitude,wikipedia_link,category,rating,entrance_fee_lkr,time_required_hours,description,district,province
"General Post Office, Colombo",6.935944444,79.84341667,"https://en.wikipedia.org/wiki/Former_General_Post_Office,_Colombo",Top Tourist Attraction,1.2,RS. 00,08.00 am - 05.00 pm,"The former Colombo General Post Office, at 17 Janadhipathi Mawatha, Colombo Fort, was the headquarters of the Sri Lanka Post and the office of the Postmaster General for over one hundred years, from 1895 until 2000.",Colombo,Western
Sigiriya,7.956944444,80.75972222,https://en.wikipedia.org/wiki/Sigiriya,Top Tourist Attraction,5.4,RS. 2500,08.00 am - 05.00 pm,"Sigiriya or Sinhagiri is an ancient rock fortress located in the northern Matale District near the town of Dambulla in the Central Province, Sri Lanka. It is a site of historical and archaeological significance that is dominated by a massive column of granite approximately 180 m (590 ft) high.",Matale,Central
Ambalangoda,6.235,80.055,https://en.wikipedia.org/wiki/Ambalangoda,Top Tourist Attraction,4.6,RS. 00,08.00 am - 05.00 pm,"Ambalangoda is a coastal town located in Galle District, Southern Province of Sri Lanka, famous for its ancient demon masks and devil dancers.",Galle,Southern
Ruwanweli Maha Saya,8.35,80.3964,https://en.wikipedia.org/wiki/Ruwanwelisaya,Top Tourist Attraction,4.9,RS. 00,08.00 am - 05.00 pm,"

The Ruwanweli Maha Seya, also known as the Maha Thupa, is a stupa in Anuradhapura, Sri Lanka. Two quarts or one Dona of the Buddha's relics are enshrined in the stupa, making it the largest collection of his relics anywhere. It was built by Sinhalese King Dutugemunu in c. 140 B.C., who became king of Sri Lanka after a war in which the Chola King Elāra (Ellalan) was defeated. It is also known as Swarnamali Seya, Svaṇṇamāli Mahaceti and Rathnamali Seya.",Anuradhapura,North Central
Sinharaja Forest Reserve,6.24,80.28,https://en.wikipedia.org/wiki/Sinharaja_Forest_Reserve,Top Tourist Attraction,4.7,RS. 1700,08.00 am - 05.00 pm,Sinharaja Forest Reserve is a forest reserve and a biodiversity hotspot in Sri Lanka. It is of international significance and has been designated a Biosphere Reserve and World Heritage Site by UNESCO.,Ratnapura,Sabaragamuwa
Dambadeniya,7.36667,80.15,https://en.wikipedia.org/wiki/Dambadeniya,Top Tourist Attraction,2.4,RS. 00,08.00 am - 05.00 pm,"Dambadeniya (DMBD) is a ruined ancient city situated in the North Western Province (Wayamba), Sri Lanka on the Kurunegala–Negombo main road. It served as the capital of Sri Lanka in the mid 13th century. Much of Dambadeniya still lies buried on a huge fortified rock. Dambadeniya is situated about 31 km from Kurunegala, the modern day capital of the North Western Province. Dambadeniya is situated about 4 km from Giriulla.",Kurunegala,North Western
National Museum of Colombo,6.91,79.86083333,https://en.wikipedia.org/wiki/Colombo_National_Museum,Top Tourist Attraction,3.5,RS. 1200,08.00 am - 05.00 pm,"The Colombo National Museum, also known as the Sri Lanka National Museum, is a museum in Colombo and the largest in Sri Lanka. Founded in 1877 and maintained by the Department of National Museums, it holds collections of significant importance to Sri Lanka, such as the regalia of the Kandyan monarchs, as well as many other exhibits relating the country's cultural and natural heritage.",Colombo,Western
National Museum of Kandy,7.29326,80.64214,https://en.wikipedia.org/wiki/National_Museum_of_Kandy,Top Tourist Attraction,2.4,RS. 1200,08.00 am - 05.00 pm,"The National Museum of Kandy in Kandy, Sri Lanka is located next to the Temple of the Tooth in part of the former Royal Palace of Kandy. The primary exhibits are housed in the Palle Vahala building, which was the former home of the King's harem. A secondary exhibition is located in the main palace building. The museum is maintained by the Department of National Museums.",Kandy,Central
Great Basses Reef Lighthouse,6.182072,81.483006,https://en.wikipedia.org/wiki/Great_Basses_Reef_Lighthouse,Top Tourist Attraction,21.3,RS. 00,08.00 am - 05.00 pm,"Great Basses Reef Lighthouse is an offshore lighthouse in the south of Sri Lanka, operated and maintained by the Sri Lanka Ports Authority. It is located on a reef 13 km off the coast of Yala National Park, near Little Basses Reef Lighthouse. It is accessible only by boat. The two Basses lighthouses, 'Great' and 'Little', are among the most famous offshore lighthouses of Asia.",Hambantota,Southern
National railway museum,7.25761,80.5209,"https://en.wikipedia.org/wiki/National_Railway_Museum,_Kadugannawa",Top Tourist Attraction,1.6,RS. 1500,08.00 am - 05.00 pm,"The National Railway Museum of Sri Lanka is located in Kadugannawa, west of Kandy. The museum is owned by Sri Lanka Railways.",Kandy,Central
Bogambara Prison,7.290564,80.635453,https://en.wikipedia.org/wiki/Bogambara_Prison,Top Tourist Attraction,1.4,RS. 00,08.00 am - 05.00 pm,"Bogambara Prison was a maximum security prison and the second largest prison in the country after Welikada Prison in Colombo, Sri Lanka. After operating for 138 years, the prison was closed on 1 January 2014, and the inmates were transferred to the new Dumbara prison complex in Pallekele. In 2019, the government declared the prison site would become a cultural tourism centre, the Bogambara Cultural Park.",Kandy,Central
Sri Lanka Air Force Museum,6.8242,79.8917,https://en.wikipedia.org/wiki/Sri_Lanka_Air_Force_Museum,Top Tourist Attraction,3.8,RS. 2000,08.00 am - 05.00 pm,"The Sri Lanka Air Force Museum is the museum of the Sri Lanka Air Force, and its predecessor, the Royal Ceylon Air Force. Open to the public, the museum is at the SLAF Ratmalana and is maintained by the Sri Lanka Air Force.",Colombo,Western
Mihintale Museum,8.3555,80.5133,https://en.wikipedia.org/wiki/Mihintale_Museum,Top Tourist Attraction,4.8,RS. 1300,08.00 am - 05.00 pm,"Mihintale Archaeological Museum is an archaeological museum in Mihinthale, Anuradhapura district, North Central province, Sri Lanka.",Anuradhapura,North Central
National Museum of Galle,6.029277778,80.21669444,https://en.wikipedia.org/wiki/National_Museum_of_Galle,Top Tourist Attraction,3.9,RS. 1200,08.00 am - 05.00 pm,"The National Museum of Galle is one of the national museums of Sri Lanka. It is located in the oldest remaining Dutch building in the Galle fort, Galle, a single storey colonnaded Dutch building built in 1656 as the commissariat store for the Dutch garrison at the fort. It subsequently served as a billiards room for the adjoining New Oriental Hotel. The building was renovated by the Department of National Museums and opened on 31 March 1986.",Galle,Southern
Sri Lanka Cricket Museum,6.905935,79.868434,https://en.wikipedia.org/wiki/Sri_Lanka_Cricket_Museum,Top Tourist Attraction,4.2,RS. 1200,08.00 am - 05.00 pm,"Sri Lanka Cricket Museum is located at Maitland Place, Colombo, Sri Lanka, at the former Asian Cricket Council headquarters, adjacent to the headquarters of Sri Lanka Cricket.",Colombo,Western
Colombo Port Maritime Museum,6.938575,79.84252778,https://en.wikipedia.org/wiki/Colombo_Port_Maritime_Museum,Top Tourist Attraction,4.1,RS. 2400,08.00 am - 05.00 pm,"The Sri Lanka Ports Authority Maritime Museum, commonly known as the Colombo Maritime Museum, is located at 19 Chaithya Road, Colombo, adjacent to the Colombo Port. The museum is operated and maintained by the Sri Lanka Ports Authority.",Colombo,Western
Colombo National Art Gallery,6.9114575,79.86017583,"https://en.wikipedia.org/wiki/National_Art_Gallery,_Sri_Lanka",Top Tourist Attraction,2.9,RS. 2400,08.00 am - 05.00 pm,"The National Art Gallery in Colombo, Sri Lanka was the first state-sponsored art gallery built in the country.",Colombo,Western
Sri Lanka Planetarium,6.900762,79.862916,https://en.wikipedia.org/wiki/Sri_Lanka_Planetarium,Top Tourist Attraction,4.7,RS. 1600,08.00 am - 05.00 pm,"Sri Lanka Planetarium is a public planetarium located in Colombo, Sri Lanka. It is the first and only planetarium in the country and maintained as an institute under the Ministry of Science, Technology and Research.",Colombo,Western
"Postal museum, Colombo",6.92803,79.8581,"https://en.wikipedia.org/wiki/Postal_museum,_Colombo",Top Tourist Attraction,3.9,RS. 400,08.00 am - 05.00 pm,"Postal museum is a Sri Lanka's national museum of post that located at the Postal Headquarters in Colombo, Sri Lanka. Firstly, the postal museum was functioned at the Central Telegraph Office during 1918–1925, and moved to General Post Office in 1994. Again, a national postal museum was opened on 6 July 2010.",Colombo,Western
National Maritime Museum,6.02801,80.21766,https://en.wikipedia.org/wiki/National_Maritime_Museum_(Galle),Top Tourist Attraction,3.9,RS. 200o,08.00 am - 05.00 pm,"The National Maritime Museum or National Maritime Archaeology Museum in Galle, Sri Lanka is situated within Galle Fort. It was first opened to the public on 9 May 1992 and is located in a 1671 Dutch Warehouse above the Old Gate of Galle Fort. Whilst the building housing the museum survived the impact of the 26 December 2004 tsunami, the adjoining UNESCO Maritime Archaeology Unit was completely destroyed and all the exhibitions were flood damaged and the majority of maritime archeological artifacts were lost. Under Sri Lanka – Netherlands Cultural Co-operation Program, the Royal Government of Netherlands provided financial assistance for reconstruction of the Maritime Museum. After 3 years period of reconstruction, the Maritime Museum was re-opened to the public.",Galle,Southern
Temple of the Tooth Museum,7.293888889,80.63861111,https://en.wikipedia.org/wiki/Temple_of_the_Tooth_Museum,Top Tourist Attraction,3.4,RS. 00,08.00 am - 05.00 pm,"Temple of the Tooth Museum is a museum of the Temple of the Tooth. It is located on the first and the second floors wing of the Temple of the Tooth in Kandy, Sri Lanka.",Kandy,Central
Highway Museum complex,7.26667,80.5833,"https://en.wikipedia.org/wiki/Highway_museum_complex,_Kiribathkumbura",Top Tourist Attraction,3.4,RS.500 ,08.00 am - 05.00 pm,"Highway museum complex is Sri Lanka's first highway museum. Located in Kiribathkumbura, Kandy, it is maintained by the Road Development Authority.",Kandy,Central
International Buddhist Museum,7.29472,80.6408,https://en.wikipedia.org/wiki/International_Buddhist_Museum,Top Tourist Attraction,4.3,RS. 600,08.00 am - 05.00 pm,"International Buddhist Museum is the world's first International Buddhist Museum. It is located next to the National Museum of Kandy and Temple of the Tooth in Kandy, Sri Lanka. The site was the former Palace of the Kandian King, Wimaladharmasuriya, upon which the British constructed a Victorian era building, which housed the Kandy Kachcheri.",Kandy,Central
Panduwasnuwara Museum,7.605166667,80.1015,https://en.wikipedia.org/wiki/Panduwasnuwara_Museum,Top Tourist Attraction,1.9,RS. 400,08.00 am - 05.00 pm,"Panduwasnuwara Archaeological Museum is an archaeological Museum in Panduwasnuwara, Sri Lanka. It is located at Kotampitiya junction on Kurunegala-Chilaw road, near to the ancient shrine Panduwasnuwara Raja Maha Vihara. The museum serve as the regional museum for North Western Province of the country and is maintained by Archaeological department of Sri Lanka.",Kurunegala,North Western
Anuradhapura,8.335,80.41083333,https://en.wikipedia.org/wiki/Anuradhapura,Top Tourist Attraction,4.6,RS. 00,08.00 am - 05.00 pm,"Anuradhapura is a major city located in the north central plain of Sri Lanka. It is the capital city of North Central Province and the capital of Anuradhapura District. The city lies 205 kilometers (127 mi) north of the current capital of Colombo in the North Central Province, on the banks of the historic Malwathu Oya. The city is now a World Heritage Site famous for its well-preserved ruins of the ancient Sinhalese civilisation.",Anuradhapura,North Central
Belilena,7.00222222,80.43577778,https://en.wikipedia.org/wiki/Belilena_Cave,Top Tourist Attraction,3.9,RS. 00,08.00 am - 05.00 pm,"Belilena Cave is a cave in Sri Lanka, located 8 km (5.0 mi) from the town of Kitulgala. Evidence of prehistoric human presence as early as 32,000 years ago was recorded at the site. The skeletal remains of ten individuals were discovered by Paul E. P. Deraniyagala, who attributed them to Balangoda Man. Balangoda Man is assumed to have lived as early as 32,000 years ago and occupied high altitude territories of up to 2,000 ft (609.6 m) above sea level.",Kegalle,Sabaragamuwa
Batadombalena,6.8,80.36666667,https://en.wikipedia.org/wiki/Batadombalena,Top Tourist Attraction,3.2,RS. 00,08.00 am - 05.00 pm,"Batadombalena is an archaeological site with evidence of habitation from 8,000 years BCE, Balangoda Man, located 85 km (52.8 mi) from Colombo in Sri Lanka, a two-hour drive from Colombo.",Ratnapura,Sabaragamuwa
Maduwanwela Walawwa,6.38916667,80.70347222,https://en.wikipedia.org/wiki/Maduwanwela_Walawwa,Top Tourist Attraction,2.7,RS. 200,08.00 am - 05.00 pm,"Maduwanwela Walawwa is a walawwa located in Ratnapura District, Sabaragamuwa Province, Sri Lanka. The Walawwa is in the town of Maduwanwela, which lies between Embilipitiya and Rakwana, approximately 207 km (129 mi) from Colombo.",Ratnapura,Sabaragamuwa
Vessagiri,8.35,80.3833,https://en.wikipedia.org/wiki/Vessagiriya,Top Tourist Attraction,2.1,RS. 00,08.00 am - 05.00 pm,"Vessagiriya, or Issarasamanarama, is an ancient Buddhist forest monastery that is part of the ruins of Anuradhapura, one of the ancient capitals of Sri Lanka. It is located about half a mile south of Isurumuniya, among boulders. Begun in the reign of King Devanampiya Tissa, the site was expanded during the reign of King Kasyapa to become home to about five hundred monks.
",Anuradhapura,North Central
Aberdeen Falls,6.95,80.5,https://en.wikipedia.org/wiki/Aberdeen_Falls,Top Tourist Attraction,4.7,RS. 400,08.00 am - 05.00 pm,"Aberdeen Falls is a 98 m (322 ft) high waterfall on the Kehelgamu Oya near Ginigathena, in the Nuwara Eliya District of Sri Lanka. Kehelgamu Oya is a major tributary of the Kelani River. The waterfall is ranked as the 18th highest on the Island.",Nuwara Eliya,Central
Galboda Ella,6.7844,80.7061,https://en.wikipedia.org/wiki/Galboda_Ella,Top Tourist Attraction,4.9,RS. 400,08.00 am - 05.00 pm,Galboda Falls(ගල්බොඩ ඇල්ල) is a waterfall in Sri Lanka. It is located by Nuwara Eliya District. Galboda is along the railway track of Colombo to Badulla. The environment is cool with much rain.,Nuwara Eliya,Central
Baker's Falls,6.792222222,80.78944444,https://en.wikipedia.org/wiki/Baker%27s_Falls,Top Tourist Attraction,5.2,RS. 1000,08.00 am - 05.00 pm,"Baker's Falls is a famous waterfall in Horton Plains National Park in the Nuwara Eliya District of Sri Lanka. Approximately 20 metres high, the waterfall is formed by the Belihul Oya, a major tributary of the Walawe River.",Nuwara Eliya,Central
Alakola Ella,7.419181,80.740014,https://en.wikipedia.org/wiki/Alakola_Ella,Top Tourist Attraction,3.9,RS. 400,08.00 am - 05.00 pm,"Alakola Ella also referred to as Thaliya Wetuna Ella is a waterfall which is located in Alakola estate in the Knuckles mountain range, Matale of Central Province. The waterfall was named after a tea planter called Allen Collen who was active during the colonial era.",Matale,Central
Rathna ella,7,80.983333,https://en.wikipedia.org/wiki/Rathna_Ella,Top Tourist Attraction,3.8,RS. 00,08.00 am - 05.00 pm,"Rathna Ella is a waterfall in Hasalaka, Sri Lanka. It is 101 meters, and is the 14th tallest waterfall in Sri Lanka. It springs from the Knuckles mountain range, and supplies water for irrigation and paddy cultivation to the local community, sustaining approximately 200 farmers.",Kandy,Central
Devon Falls,6.951666667,80.62972222,https://en.wikipedia.org/wiki/Devon_Falls,Top Tourist Attraction,4.7,RS. 1000,08.00 am - 05.00 pm,"Devon Falls, known as the 'Veil of the Valley', is a waterfall in Sri Lanka, situated 6 km (3.7 mi) west of Talawakele, Nuwara Eliya District on the A7 highway. The falls is named after a pioneer English coffee planter called Devon, whose plantation was situated nearby. The waterfall is 97 m (318 ft) high and is the 19th highest in the country. The falls are formed by a tributary of Kothmale Oya, which is a tributary of Mahaweli River. The elevation of Devon Falls is 1,140 m (3,740 ft) above sea level.",Nuwara Eliya,Central
Surathali Falls,6.74583333,80.82888889,https://en.wikipedia.org/wiki/Surathali_Falls,Top Tourist Attraction,4.3,RS. 400,08.00 am - 05.00 pm,Surathali Falls is a 60-metre (200 ft) waterfall in Walhaputenna of Ratnapura District in Sri Lanka.,Badulla,Uva
Bopath Ella Falls,6.8,80.36666667,https://en.wikipedia.org/wiki/Bopath_Ella_Falls,Top Tourist Attraction,4.9,RS. 1000,08.00 am - 05.00 pm,"Bopath Ella is a waterfall situated in the Ratnapura District of Sri Lanka. It has a shape very similar to the leaf of the Sacred fig or ""Bo"" (බෝ) tree, which has earned it this name. The waterfall is a major tourist attraction in the country. Local myths say that it is haunted and that it hides a treasure trove.",Ratnapura,Sabaragamuwa
Rawan Ella,6.959444444,80.85444444,https://en.wikipedia.org/wiki/Rawan_Ella,Top Tourist Attraction,5.4,RS. 400,08.00 am - 05.00 pm,"Rawan Ella, is a waterfall in the village of Uduhawara, in Badulla District, near the boundary with the Nuwara Eliya District, Sri Lanka. It is a horsetail-type waterfall, approximately 40 metres high.",Badulla,Uva
Devathura Falls,7.05855556,80.69905556,https://en.wikipedia.org/wiki/Devathura_Falls,Top Tourist Attraction,3.2,RS. 400,08.00 am - 05.00 pm,"Devathura Falls is a waterfall in Nuwara Eliya District of Sri Lanka. The water cascades three falls and the lowest part is close to the road at the ""ramboda pass"", and is approximately 10 meter in height. However, the upper part of waterfall is situated little above the road and is approximately 72 feet in height.",Nuwara Eliya,Central
Elgin Falls,6.866666667,80.76666667,https://en.wikipedia.org/wiki/Elgin_Falls,Top Tourist Attraction,3.1,RS. 400,08.00 am - 05.00 pm,"Elgin Falls is a waterfall in Sri Lanka, located in the Elgin tea estate, which is 18 km (11 mi) from Nuwara Eliya, Sri Lanka. The waterfall is 25 m (82 ft) in height. Elgin Falls is named after Elgin, a major town of Moray in Scotland. The falls are at about 1,500 m (4,900 ft) above sea level. There are several ways to access the waterfall. When traveling by railway between Nanu Oya and Ambewela, the falls can be seen picturesquely.",Nuwara Eliya,Central
Diyaluma Falls,6.733282146,81.03146967,https://en.wikipedia.org/wiki/Diyaluma_Falls,Top Tourist Attraction,5.2,RS. 1000,08.00 am - 05.00 pm,"Diyaluma Falls is 220 m (720 ft) high and the second highest waterfall in Sri Lanka and 619th highest waterfall in the world. It is situated 6 km (3.7 mi) away from Koslanda in Badulla District on Colombo-Badulla highway. The falls are formed by Punagala Oya, a tributary of Kuda Oya which in turn, is a tributary of Kirindi Oya.",Badulla,Uva
Bomburu Ella,6.9475,80.83083333,https://en.wikipedia.org/wiki/Bomburu_Ella,Top Tourist Attraction,5.5,RS. 1000,08.00 am - 05.00 pm,"Bomburu Ella, also known as Perawella Falls, is a waterfall in Uva-Paranagama Divisional Secretariat of Sri Lanka. It is located near the border of Nuwara Eliya and Badulla districts, approximately 15 km from Welimada town. The fall is about 50 m in height and 20 m in width and consists of several small waterfalls grouped together. The source of the falls is a lake located in the central highlands of Sri Lanka. Renowned as the widest waterfall in the country, it is composed of several smaller cascades that converge to form a single, expansive waterfall.",Nuwara Eliya,Central
St. Clair's Falls,6.951177778,80.64787778,https://en.wikipedia.org/wiki/St._Clair%27s_Falls,Top Tourist Attraction,5.5,RS. 400,08.00 am - 05.00 pm,"St. Clair's Falls is one of the widest waterfalls in Sri Lanka and is commonly known as the ""Little Niagara of Sri Lanka"". It is one of six waterfalls affected by the Upper Kotmale Hydropower Project.",Nuwara Eliya,Central
Ravana Falls,6.903888889,81.05166667,https://en.wikipedia.org/wiki/Ravana_Ella,Top Tourist Attraction,5.5,RS. 400,08.00 am - 05.00 pm,"Ravana Ella, also known as Ravama Falls, or Bambaragala Falls is a popular sightseeing attraction in Uva province of Sri Lanka. It currently ranks as one of the widest falls in the country.",Badulla,Uva
Ramboda Falls,7.067,80.7,https://en.wikipedia.org/wiki/Ramboda_Falls,Top Tourist Attraction,4.8,RS. 400,08.00 am - 05.00 pm,"Ramboda Falls is 109 m (358 ft) high and the eleventh tallest waterfall in Sri Lanka and the 729th tallest waterfall in the world. It is situated in Kothmale area, on the A5 highway at Ramboda Pass. The waterfall is formed by the Panna Oya which is a tributary of Kothmale Oya. The falls have an elevation 945 m (3,100 ft) above sea level.",Nuwara Eliya,Central
Bambarakanda Falls,6.773333333,80.83111111,https://en.wikipedia.org/wiki/Bambarakanda_Falls,Top Tourist Attraction,5.6,RS. 1000,08.00 am - 05.00 pm,"Bambarakanda Falls is the tallest waterfall in Sri Lanka. With a height of 263 m (863 ft), it ranks as the 461st highest waterfall in the world. Situated in Kalupahana in the Badulla District, this waterfall is 5 km (3.1 mi) away from the A4 Highway. The waterfall was formed by Kuda Oya, which is a tributary of the Walawe River. The Bambarakanda Falls can be found in a forest of pine trees.",Badulla,Uva
Dunsinane Falls,7.01172222,80.70566667,https://en.wikipedia.org/wiki/Dunsinane_Falls,Top Tourist Attraction,5.1,RS. 400,08.00 am - 05.00 pm,Dunsinane Falls is a waterfall in Nuwara Eliya District of Sri Lanka. It is situated in Pundaluoya village and between the Tea estates known as Dunsinane and Sheen. Therefore sometimes this falls is called as Dunsinane Sheen falls. The waterfall is created by the Pundalu Oya river which is a tributary of Kotmale Oya.,Nuwara Eliya,Central
Dunhinda Falls,7.016666667,81.06666667,https://en.wikipedia.org/wiki/Dunhinda_Falls,Top Tourist Attraction,5.4,RS. 1000,08.00 am - 05.00 pm,Dunhinda Falls is a waterfall located about 5 kilometres (3.1 mi) from Badulla in the lower central hills of Sri Lanka.,Badulla,Uva
Laxapana Falls,6.9,80.5,https://en.wikipedia.org/wiki/Laxapana_Falls,Top Tourist Attraction,5.3,RS. 400,08.00 am - 05.00 pm,"Laxapana Falls is, at 126 m (413 ft) high, the 8th highest waterfall in Sri Lanka and 625th highest in the world. It is situated in Maskeliya area in Nuwara Eliya District, about 16 km (10 mi) from Maskeliya town on Maskeliya-Norton Bridge road, in a village called Kiriwan Eliya. It is formed by Maskeliya Oya near the confluence of Kehelgamu Oya and Maskeliya Oya which forms Kelani River. The falls gives its name to twin hydroelectric power stations, Old Laxapana Power Station which generates 50 MW of electricity and New Laxapana Power Station which generates 100 MW.",Nuwara Eliya,Central
Hunnas Falls,7.401944444,80.68972222,https://en.wikipedia.org/wiki/Hunnas_Falls,Top Tourist Attraction,5.1,RS. 400,08.00 am - 05.00 pm,"Hunnas waterfall, also known as Hunnasgiriya falls, is located about 22 kilometres (14 mi) from Kandy, Sri Lanka. It is located in Matale District near the village of Elkaduwa. There are two roads to reach Hunnas waterfall, one is coming from Matale to Elkaduwa, and the other is Wattegama (Kandy) to Elkaduwa.",Kandy,Central
Doovili Ella Falls,6.66233333,80.86583333,https://en.wikipedia.org/wiki/Doovili_Ella,Top Tourist Attraction,4.3,RS. 1000,08.00 am - 05.00 pm,"Duvili Ella or Walawe Ganga East Falls is a waterfall in Ratnapura District, Sri Lanka. It is located in Thanjantenna village, which is about 4 km (2.5 mi) away from Balangoda. The height of the waterfalls is about 40 m (130 ft). The name 'Duwili' is derived from the Sinhalese for dust, which describes the spray emanating from the waterfall.",Matale,Central
Sera Ella Falls,7.588304,80.7549405,https://en.wikipedia.org/wiki/Sera_Ella,Top Tourist Attraction,4.9,RS. 400,08.00 am - 05.00 pm,"Sera Ella is a waterfall located in Pothatawela village, a place near Laggala in the Matale District of Sri Lanka. It is formed by the waters of Kitul Canal which runs down Kaudagammana peak and the Hunumadala River, which flows from the mountains of Gonamada and Deyuthu Gammmaduwa, combining to form the Puwakpitiya River, a waterway which joins Thelgamu Oya to create the waterfall at its point of joining.",Matale,Central
Ceylon Tea Museum,7.26861111,80.63266111,https://en.wikipedia.org/wiki/Ceylon_Tea_Museum,Top Tourist Attraction,3.9,RS. 1500,08.00 am - 05.00 pm,"The Ceylon Tea Museum is located in the former Hanthana Tea Factory, which was originally constructed in 1925. It is situated 3 km (1.9 mi) south of Kandy.",Kandy,Central
Kumana National Park,6.51305556,81.68777778,https://en.wikipedia.org/wiki/Kumana_National_Park,Top Tourist Attraction,4.8,RS. 2000,08.00 am - 05.00 pm,"Kumana National Park in Sri Lanka is renowned for its avifauna, particularly its large flocks of migratory waterfowl and wading birds. The park is 391 kilometres (243 mi) southeast of Colombo on Sri Lanka's southeastern coast. Kumana is contiguous with Yala National Park, and was formerly known as Yala East National Park and was renamed to its present name in 2006.",Ampara,Eastern
